Deutsch	Wissenschaftlich
Linaria alpina	Linaria alpina
Bartsia alpina	Bartsia alpina
Euphrasia rostkoviana	Euphrasia rostkoviana
Melampyrum silvaticum	Melampyrum silvaticum
Pedicularis	Pedicularis
Pedicularis tuberosa	Pedicularis tuberosa
Pedicularis verticillata	Pedicularis verticillata
Orobanchaceae	Orobanchaceae
Orobanche alba	Orobanche alba
Globulariaceae	Globulariaceae
Globularia cordifolia	Globularia cordifolia
Lentibulariaceae	Lentibulariaceae
Pinguicula	Pinguicula
Plantaginaceae	Plantaginaceae
Plantago alpina	Plantago alpina
Plantago lanceolata	Plantago lanceolata
Plantago major	Plantago major
Plantago media	Plantago media
Lamiaceae	Lamiaceae
Ajuga	Ajuga
Ajuga reptans	Ajuga reptans
Galeopsis	Galeopsis
Galeopsis tetrahit	Galeopsis tetrahit
Glechoma hederacea	Glechoma hederacea
Lamium	Lamium
Lamium maculatum	Lamium maculatum
Lamium montanum	Lamium montanum
Lamium purpureum	Lamium purpureum
Prunella vulgaris	Prunella vulgaris
Salvia pratensis	Salvia pratensis
Acinos alpina	Acinos alpina
Thymus serpyllum	Thymus serpyllum
Glockenblumengewächse	Campanulaceae
Glockenblume	Campanula
Bärtige Glockenblume	Campanula barbata
Kleine Glockenblume	Campanula cochleariifolia
Rautenblättrige Glockenblume	Campanula rhomboidalis
Rundblättrige Glockenblume	Campanula rotundifolia
Rapunzel	Phyteuma
Halbkugelige Rapunzel	Phyteuma hemisphaericum
Rundköpfige Rapunzel	Phyteuma orbiculare
Ährige Rapunzel	Phyteuma spicatum
Korbblütler	Asteraceae
Röhrenblütler	Asteroideae
Arnika	Arnica montana
Distel	Carduus
Kratzdistel	Cirsium
Alpenlattich	Homogyne alpina
Pestwurz	Petasites
Huflattich	Tussilago farfara
Kamille	Matricaria
Echte Kamille	Matricaria recutita
Strahlenlose Kamille	Matricaria discoidea
Grauer Alpendost	Adenostyles alliariae
Gewöhnliches Katzenpfötchen	Antennaria dioica
Beifuss	Artemisia
Wermut	Artemisia absinthium
Feld-Beifuss	Artemisia campestris
Gewöhnlicher Beifuss	Artemisia vulgaris
Flockenblume	Centaurea
Wiesen-Flockenblume	Centaurea jacea
Berg-Flockenblume	Centaurea montana
Skabiosen-Flockenblume	Centaurea scabiosa
Edelweiss	Leontopodium alpinum
Schafgarbe	Achillea
Gewöhnliche Schafgarbe	Achillea millefolium
Moschus-Schafgarbe	Achillea moschata
Alpen-Aster	Aster alpinus
Alpenmasslieb	Aster bellidiastrum
Gänseblümchen	Bellis perennis
Alpenmargerite	Leucanthemopsis alpina
Gewöhnliche Margerite	Leucanthemum vulgare
Kreuzkraut	Senecio
Gemswurz-Kreuzkraut	Senecio doronicum
Gewöhnliches Kreuzkraut	Senecio vulgaris
Zungenblütler	Cichorioideae
Pippau	Crepis
Gold-Pippau	Crepis aurea
Wiesen-Pippau	Crepis biennis
Habichtskraut	Hieracium
Mauer-Habichtskraut	Hieracium murorum
Langhaariges Habichtskraut	Hieracium pilosella
Steifhaariger Löwenzahn	Leontodon hispidus
Pfaffenröhrlein	Taraxacum officinale
Wiesen-Bocksbart	Tragopogon orientalis
Buchenartige	Fagales
Buchengewächse	Fagaceae
Edel-Kastanie	Castanea sativa
Buche	Fagus sylvatica
Eiche	Quercus
Birkengewächse	Betulaceae
Erle	Alnus
Schwarz-Erle	Alnus glutinosa
Grau-Erle	Alnus incana
Alpen-Erle	Alnus viridis
Birke	Betula
Hagebuche	Carpinus betulus
Haselstrauch	Corylus avellana
Walnussgewächse	Juglandaceae
Walnussbaum	Juglans regia
Weidengewächse	Salicaceae
Pappel	Populus
Silber-Pappel	Populus alba
Zitter-Pappel	Populus tremula
