ID	NAME	RANK	TYPE
545	Crataegus laevigata agg.	760	TAXON
546	Crataegus monogyna	761	TAXON
547	Crataegus monogyna agg.	762	TAXON
548	Amelanchier ovalis	763	TAXON
549	Malus sylvestris	764	TAXON
550	Pyrus pyraster	765	TAXON
551	Sorbus	766	TAXON
552	Sorbus aucuparia	767	TAXON
553	Sorbus domestica	768	TAXON
554	Sorbus aria	769	TAXON
555	Sorbus torminalis	770	TAXON
556	Prunoideae	773	TAXON
557	Prunus	774	TAXON
558	Prunus avium	775	TAXON
559	Prunus mahaleb	776	TAXON
560	Prunus padus	777	TAXON
561	Prunus padus i.w.S.	778	TAXON
562	Prunus spinosa	779	TAXON
563	Ulmaceae	781	TAXON
564	Ulmus	782	TAXON
565	Ulmus glabra	783	TAXON
566	Ulmus minor	784	TAXON
567	Urticaceae	786	TAXON
568	Urtica dioica	787	TAXON
569	Geraniaceae	791	TAXON
570	Erodium	792	TAXON
571	Erodium cicutarium	793	TAXON
572	Geranium	794	TAXON
573	Geranium pyrenaicum	795	TAXON
574	Geranium robertianum	796	TAXON
575	Geranium robertianum agg.	797	TAXON
576	Geranium rotundifolium	798	TAXON
577	Geranium sanguineum	799	TAXON
578	Geranium sylvaticum	800	TAXON
579	Onagraceae	803	TAXON
580	Circaea lutetiana	804	TAXON
581	Epilobium	805	TAXON
582	Epilobium angustifolium	806	TAXON
583	Epilobium montanum	807	TAXON
584	Oenothera biennis	808	TAXON
585	Oenothera biennis agg.	809	TAXON
586	Brassicaceae	911	TAXON
587	Kernera saxatilis	912	TAXON
588	Alliaria petiolata	913	TAXON
589	Arabidopsis thaliana	914	TAXON
590	Arabis alpina	915	TAXON
591	Brassica napus	916	TAXON
592	Cardamine	917	TAXON
593	Cardamine hirsuta	918	TAXON
594	Cardamine pratensis	919	TAXON
595	Cardamine pratensis agg.	920	TAXON
596	Cardamine resedifolia	921	TAXON
597	Sinapis arvensis	922	TAXON
598	Biscutella laevigata	923	TAXON
599	Capsella bursa-pastoris	924	TAXON
600	Pritzelago alpina	925	TAXON
601	Pritzelago alpina i.w.S.	926	TAXON
602	Thlaspi	927	TAXON
603	Thlaspi arvense	928	TAXON
604	Thlaspi rotundifolium	929	TAXON
605	Thlaspi rotundifolium i.w.S.	930	TAXON
606	Draba aizoides	931	TAXON
607	Lunaria annua	932	TAXON
608	Cistaceae	936	TAXON
609	Helianthemum	937	TAXON
610	Helianthemum alpestre	938	TAXON
611	Helianthemum nummularium	939	TAXON
612	Helianthemum nummularium agg.	940	TAXON
613	Malvaceae	943	TAXON
614	Malvoideae	944	TAXON
615	Malva	945	TAXON
616	Malva neglecta	946	TAXON
617	Malva sylvestris	947	TAXON
618	Tilioideae	948	TAXON
619	Tilia	949	TAXON
620	Tilia cordata	950	TAXON
621	Tilia platyphyllos	951	TAXON
622	Thymelaeaceae	956	TAXON
623	Daphne	957	TAXON
624	Daphne mezereum	958	TAXON
625	Daphne striata	959	TAXON
626	Sapindaceae	961	TAXON
627	Acer	962	TAXON
628	Acer campestre	963	TAXON
629	Acer opalus	964	TAXON
630	Acer platanoides	965	TAXON
631	Acer pseudoplatanus	966	TAXON
632	Asteranae	971	TAXON
633	Cornaceae	972	TAXON
634	Cornus	973	TAXON
635	Cornus mas	974	TAXON
636	Cornus sanguinea	975	TAXON
637	Balsaminaceae	978	TAXON
638	Impatiens	979	TAXON
639	Impatiens glandulifera	980	TAXON
640	Impatiens noli-tangere	981	TAXON
641	Impatiens parviflora	982	TAXON
642	Ericaceae	986	TAXON
643	Calluna vulgaris	987	TAXON
644	Empetrum hermaphroditum	988	TAXON
645	Erica carnea	989	TAXON
646	Loiseleuria procumbens	990	TAXON
647	Arctostaphylos uva-ursi	991	TAXON
648	Rhododendron	992	TAXON
649	Rhododendron ferrugineum	993	TAXON
650	Rhododendron hirsutum	994	TAXON
651	Vaccinium	995	TAXON
652	Vaccinium myrtillus	996	TAXON
653	Vaccinium uliginosum	997	TAXON
654	Vaccinium uliginosum agg.	998	TAXON
655	Vaccinium vitis-idaea	999	TAXON
656	Primulaceae	1001	TAXON
657	Anagallis arvensis	1002	TAXON
658	Lysimachia nemorum	1003	TAXON
659	Androsace	1004	TAXON
660	Androsace chamaejasme	1005	TAXON
661	Androsace obtusifolia	1006	TAXON
662	Androsace alpina	1007	TAXON
663	Androsace helvetica	1009	TAXON
664	Androsace vandellii	1009	TAXON
665	Primula	1010	TAXON
666	Primula auricula	1011	TAXON
667	Primula elatior	1012	TAXON
668	Primula veris	1013	TAXON
669	Primula veris i.w.S.	1014	TAXON
670	Primula farinosa	1015	TAXON
671	Primula hirsuta	1016	TAXON
672	Soldanella	1017	TAXON
673	Soldanella alpina	1018	TAXON
674	Soldanella pusilla	1019	TAXON
675	Lamiiden	1021	TAXON
676	Boraginaceae	1022	TAXON
677	Echium	1023	TAXON
678	Echium vulgare	1024	TAXON
679	Myosotis	1025	TAXON
680	Myosotis alpestris	1026	TAXON
681	Myosotis arvensis	1027	TAXON
682	Pulmonaria	1028	TAXON
683	Pulmonaria obscura	1029	TAXON
684	Symphytum	1030	TAXON
685	Symphytum officinale	1031	TAXON
686	Gentianales	1036	TAXON
687	Apocynaceae	1037	TAXON
688	Apocynoideae	1038	TAXON
689	Vinca minor	1039	TAXON
690	Asclepiadoideae	1040	TAXON
691	Vincetoxicum hirundinaria	1041	TAXON
692	Gentianaceae	1044	TAXON
693	Gentiana	1045	TAXON
694	Gentiana acaulis	1046	TAXON
695	Gentiana clusii	1047	TAXON
696	Gentiana verna	1048	TAXON
697	Gentiana verna agg.	1049	TAXON
698	Gentiana lutea	1050	TAXON
699	Gentiana punctata	1051	TAXON
700	Gentiana purpurea	1052	TAXON
701	Gentianella	1053	TAXON
702	Gentianella campestris	1054	TAXON
703	Gentianella germanica	1055	TAXON
704	Gentianella germanica i.w.S.	1056	TAXON
705	Rubiaceae	1061	TAXON
706	Asperula	1062	TAXON
707	Asperula cynanchica	1063	TAXON
708	Cruciata	1064	TAXON
709	Cruciata laevipes	1065	TAXON
710	Galium	1066	TAXON
711	Galium anisophyllon	1067	TAXON
712	Galium aparine	1068	TAXON
713	Galium mollugo	1069	TAXON
714	Galium mollugo agg.	1070	TAXON
715	Galium odoratum	1071	TAXON
716	Galium verum	1072	TAXON
717	Galium verum i.w.S.	1073	TAXON
718	Oleaceae	1076	TAXON
719	Fraxinus	1077	TAXON
720	Fraxinus excelsior	1078	TAXON
721	Fraxinus ornus	1079	TAXON
722	Ligustrum vulgare	1080	TAXON
723	Plantaginaceae	1086	TAXON
724	Chaenorrhinum minus	1087	TAXON
725	Linaria	1088	TAXON
726	Linaria alpina	1089	TAXON
727	Linaria alpina i.w.S.	1090	TAXON
728	Linaria vulgaris	1091	TAXON
729	Globularia	1092	TAXON
730	Globularia cordifolia	1093	TAXON
731	Globularia nudicaulis	1094	TAXON
732	Digitalis	1095	TAXON
733	Digitalis grandiflora	1096	TAXON
734	Plantago	1097	TAXON
735	Plantago lanceolata	1098	TAXON
736	Plantago major	1099	TAXON
737	Plantago media	1100	TAXON
738	Plantago alpina	1101	TAXON
739	Plantago atrata	1102	TAXON
740	Veronica	1103	TAXON
741	Veronica beccabunga	1104	TAXON
742	Veronica chamaedrys	1105	TAXON
743	Veronica urticifolia	1106	TAXON
744	Veronica arvensis	1107	TAXON
745	Veronica filiformis	1108	TAXON
746	Veronica hederifolia	1109	TAXON
747	Veronica persica	1110	TAXON
748	Veronica bellidioides	1111	TAXON
749	Veronica fruticans	1112	TAXON
750	Scrophulariaceae	1116	TAXON
751	Buddleja davidii	1117	TAXON
752	Verbascum	1118	TAXON
753	Verbascum lychnitis	1119	TAXON
754	Orobanchaceae	1121	TAXON
755	Orobanche	1122	TAXON
756	Orobanche alba	1123	TAXON
757	Pedicularis	1124	TAXON
758	Pedicularis foliosa	1125	TAXON
759	Pedicularis tuberosa	1126	TAXON
760	Pedicularis verticillata	1127	TAXON
761	Melampyrum	1128	TAXON
762	Melampyrum pratense	1129	TAXON
763	Melampyrum sylvaticum	1130	TAXON
764	Rhinanthus	1131	TAXON
765	Rhinanthus alectorolophus	1132	TAXON
